Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.3,0m 0.3s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.4,-100,260,1024,1024,1024,1024,1024,,,,,
2,0.4,0m 0.4s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.4,-100,260,1024,1024,1024,1024,1024,,,,,
3,0.5,0m 0.5s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.5,-100,260,1024,1024,1024,1024,1024,,,,,
4,0.6,0m 0.6s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.5,-100,260,1024,1024,1024,1024,1024,,,,,
5,0.7,0m 0.7s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.5,-100,260,1024,1024,1024,1024,1024,,,,,
6,0.8,0m 0.8s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.5,-100,260,1024,1024,1024,1024,1024,,,,,
7,0.9,0m 0.9s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.5,-100,260,1024,1024,1024,1024,1024,,,,,
8,1.1,0m 1.1s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.2,-0.6,-99.9,260.1,1024,1024,1024,1024,1068,,,,,
9,1.2,0m 1.2s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.914,0.005,4.226,4.228,4.231,4.229,0,0,0,-4.3,-0.6,-99.9,260.1,1024,1024,1024,1024,1305,,,,,
10,1.3,0m 1.3s,0,0,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,95,16.913,0.005,4.226,4.228,4.231,4.228,0,0,0,-4.3,-0.5,-99.9,260.1,1024,1024,1024,1024,1489,,,,,
